keyword,monthly_volume,destination
flights to puerto rico from nyc,1600.0,Puerto Rico
flights to aruba from nyc,1400.0,Aruba
flights to jamaica from nyc,1300.0,Jamaica
flights to punta cana from nyc,900.0,Dominican Republic
flights from nyc to cancun,700.0,Cancún / Cozumel / Riviera Maya
flights to cancun from nyc,700.0,Cancún / Cozumel / Riviera Maya
flights to puerto rico from newark,600.0,Puerto Rico
flights from nyc to puerto rico,600.0,Puerto Rico
flights to san juan from nyc,600.0,Puerto Rico
flights from nyc to aruba,500.0,Aruba
flights to aruba from newark,450.0,Aruba
flights to dominican republic from nyc,450.0,Dominican Republic
puerto rico flights from nyc,450.0,Puerto Rico
flights to bermuda from nyc,450.0,Bermuda
flights to punta cana from newark,400.0,Dominican Republic
flights to bahamas from nyc,400.0,Bahamas
flights from nyc to san juan,400.0,Puerto Rico
flights to curacao from nyc,350.0,Curaçao
flights to antigua from nyc,350.0,Antigua & Barbuda
flights from newark to cancun,350.0,Cancún / Cozumel / Riviera Maya
flights from nyc to punta cana,350.0,Dominican Republic
aruba flights from nyc,350.0,Aruba
flights to barbados from nyc,350.0,Barbados
flights to jamaica from newark,300.0,Jamaica
flights from newark to punta cana,300.0,Dominican Republic
