Metric, Organic traffic, Organic positions: 1–3, Organic positions: 4–10, SERP Features: Featured snippet (Owned), SERP Features: AI Overview (Owned), SERP Features: Local pack (Owned), SERP Features: Sitelinks (Owned), SERP Features: Top stories (Owned), SERP Features: Image pack (Owned), SERP Features: Videos (Owned), SERP Features: Discussions and forums (Owned), SERP Features: X (Twitter) (Owned), SERP Features: Top ads (Owned), SERP Features: Bottom ads (Owned), SERP Features: Paid sitelinks (Owned), SERP Features: Shopping ads (Owned), SERP Features: Knowledge card (Owned), SERP Features: Knowledge panel (Owned), SERP Features: People also ask (Owned), SERP Features: Thumbnail (Owned), SERP Features: Video preview (Owned), SERP Features: Shopping (Owned), Organic traffic: Branded, Organic traffic: Non-branded, Organic positions by intent: Informational, Organic positions by intent: Navigational, Organic positions by intent: Commercial, Organic positions by intent: Transactional, Organic positions by intent: Branded, Organic positions by intent: Local
Volume, Monthly volume, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, Monthly volume, Monthly volume, -, -, -, -, -, -
Location, All locations, All locations, All locations, All locations, All locations, All locations, All locations, All locations, All locations, All locations, All locations, All locations, All locations, All locations, All locations, All locations, All locations, All locations, All locations, All locations, All locations, All locations, All locations, All locations, All locations, All locations, All locations, All locations, All locations, All locations
2015-06-01, 1279598, 7756, 30574, 0., 0., 0., 3062., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1161511, 118087, 140371, 7284, 76986, 41059, 29356, 90347
2015-06-02, 1280703, 7802, 30902, 0., 0., 0., 3066., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1161883, 118821, 142562, 7404, 78193, 41741, 29813, 91785
2015-06-03, 1281019, 7813, 31008, 0., 0., 0., 3072., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1161923, 119096, 143089, 7439, 78466, 41890, 29922, 92131
2015-06-04, 951295, 7804, 31011, 0., 0., 0., 3081., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 830745, 120550, 143129, 7435, 78463, 41879, 29920, 92139
2015-06-05, 950635, 7804, 31054, 0., 0., 0., 3094., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 825339, 125296, 143198, 7444, 78503, 41903, 29939, 92216
2015-06-06, 934046, 7807, 31086, 0., 0., 0., 3106., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 810844, 123202, 143338, 7456, 78558, 41928, 29967, 92296
2015-06-07, 937924, 7825, 31137, 0., 0., 0., 3114., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 815000, 122924, 143434, 7444, 78611, 41932, 29980, 92450
2015-06-08, 957727, 7848, 31176, 0., 0., 0., 3140., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 834406, 123320, 143545, 7425, 78699, 41963, 29977, 92568
