Date, Organic pages (Monthly volume - All locations), Organic traffic (Monthly volume - All locations)
2023-08-23, 810, 104425
2023-08-24, 811, 104079
2023-08-25, 815, 104851
2023-08-26, 824, 104807
2023-08-27, 826, 106198
2023-08-28, 825, 105702
2023-08-29, 825, 103357
2023-08-30, 825, 102578
2023-08-31, 826, 100837
2023-09-01, 824, 99740
2023-09-02, 827, 99171
2023-09-03, 825, 99731
2023-09-04, 825, 99142
2023-09-05, 824, 100952
2023-09-06, 826, 100794
2023-09-07, 824, 100403
2023-09-08, 821, 100084
2023-09-09, 821, 99452
2023-09-10, 815, 99499
2023-09-11, 813, 100445
2023-09-12, 812, 98256
2023-09-13, 809, 97244
2023-09-14, 807, 97234
2023-09-15, 805, 97316
2023-09-16, 802, 96842
2023-09-17, 801, 96400
2023-09-18, 800, 96009
2023-09-19, 798, 96135
2023-09-20, 798, 97637
2023-09-21, 796, 97852
2023-09-22, 793, 97285
2023-09-23, 791, 97333
2023-09-24, 789, 97350
2023-09-25, 788, 97021
2023-09-26, 784, 98454
2023-09-27, 782, 98131
2023-09-28, 779, 97159
2023-09-29, 778, 97286
2023-09-30, 778, 97210
2023-10-01, 773, 95907
2023-10-02, 774, 95527
2023-10-03, 772, 96240
2023-10-04, 768, 96362
2023-10-05, 763, 96835
2023-10-06, 761, 97163
2023-10-07, 761, 96409
2023-10-08, 759, 96778
2023-10-09, 757, 96816
2023-10-10, 756, 96780
2023-10-11, 752, 96803
2023-10-12, 749, 95913
2023-10-13, 750, 95823
2023-10-14, 749, 96713
2023-10-15, 743, 96886
2023-10-16, 742, 97293
2023-10-17, 742, 97141
2023-10-18, 743, 95887
2023-10-19, 743, 95873
2023-10-20, 741, 95571
2023-10-21, 742, 95272
2023-10-22, 742, 95403
2023-10-23, 742, 94745
2023-10-24, 740, 97118
2023-10-25, 740, 97062
2023-10-26, 739, 96729
2023-10-27, 737, 96799
2023-10-28, 736, 97505
2023-10-29, 738, 98512
2023-10-30, 737, 120279
2023-10-31, 737, 120111
2023-11-01, 736, 120454
2023-11-02, 736, 118179
2023-11-03, 737, 96575
2023-11-04, 736, 95704
2023-11-05, 734, 98040
2023-11-06, 739, 97735
2023-11-07, 738, 98805
2023-11-08, 737, 107251
2023-11-09, 738, 127641
2023-11-10, 740, 126687
2023-11-11, 739, 127902
2023-11-12, 739, 127856
2023-11-13, 738, 127186
2023-11-14, 736, 120047
2023-11-15, 737, 121526
2023-11-16, 737, 122775
2023-11-17, 739, 132043
2023-11-18, 739, 122804
2023-11-19, 738, 125554
2023-11-20, 740, 132284
